,SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
484,100558,0,Revolving loans,M,N,Y,0,157500.0,270000.0,13500.0,270000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.030755,-19499,-1299,-7244.0,-3057,,1,1,1,1,1,0,Laborers,2.0,2,2,TUESDAY,12,0,0,0,0,0,0,Business Entity Type 3,,0.197611644362726,0.0988592803548219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,4.0,0.0,-211.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
899,101036,0,Cash loans,M,N,Y,0,225000.0,474048.0,24201.0,360000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.008019,-11264,-220,-1225.0,-1967,,1,1,1,1,0,0,Security staff,1.0,2,2,MONDAY,13,0,0,0,0,1,1,Business Entity Type 3,0.2049695495875644,0.4649292966344416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1070.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
1140,101334,0,Cash loans,M,Y,Y,0,247500.0,805536.0,34258.5,720000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.031329,-21641,-1848,-5166.0,-4311,15.0,1,1,0,1,0,0,Laborers,2.0,2,2,TUESDAY,17,0,0,0,0,1,1,Postal,,0.7567605725114481,0.5762088360175724,0.0825,0.1031,0.9881,0.8368,,0.0,0.1379,0.1667,,0.1291,,0.085,,0.0,0.084,0.1069,0.9881,0.8432,,0.0,0.1379,0.1667,,0.132,,0.0885,,0.0,0.0833,0.1031,0.9881,0.8390000000000001,,0.0,0.1379,0.1667,,0.1313,,0.0865,,0.0,reg oper account,block of flats,0.0668,Panel,No,5.0,0.0,5.0,0.0,-1295.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
1151,101349,0,Cash loans,F,N,Y,0,202500.0,1125000.0,36423.0,1125000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.019101,-18037,-2052,-855.0,-1539,,1,1,0,1,0,0,Managers,1.0,2,2,THURSDAY,10,0,0,0,0,0,0,Business Entity Type 3,,0.7194632210235494,0.475849908720221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1225.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,5.0
1235,101458,1,Cash loans,M,N,N,0,202500.0,479637.0,38025.0,396000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.0031219999999999,-9006,-1404,-2946.0,-1681,,1,1,0,1,0,0,,2.0,3,3,THURSDAY,17,1,1,0,1,1,0,Security Ministries,,0.1428334013990932,0.190705947811054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-139.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0
1684,101972,0,Revolving loans,M,Y,N,0,315000.0,270000.0,13500.0,270000.0,Family,Commercial associate,Secondary / secondary special,Married,Co-op apartment,0.026392,-15918,-2013,-9997.0,-1905,4.0,1,1,0,1,1,0,Drivers,2.0,2,2,SATURDAY,13,0,0,0,0,0,0,Transport: type 4,,0.275824037655571,0.3859146722745145,0.4,,0.9846,,,0.44,0.3793,0.3333,,,,0.4187,,0.0065,0.4076,,0.9846,,,0.4431,0.3793,0.3333,,,,0.4362,,0.0069,0.4039,,0.9846,,,0.44,0.3793,0.3333,,,,0.4262,,0.0066,,block of flats,0.3307,Panel,No,0.0,0.0,0.0,0.0,-1436.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
2158,102534,0,Cash loans,M,N,Y,0,103500.0,91692.0,9198.0,81000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.011703,-22594,-181,-1753.0,-4256,,1,1,0,1,0,0,Security staff,2.0,2,2,MONDAY,15,0,0,0,0,1,1,Security,,0.4074496336606753,0.3457848024695955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2175,102553,0,Cash loans,F,Y,N,0,112500.0,128092.5,9706.5,103500.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.025164,-14896,-6526,-3938.0,-3378,3.0,1,1,0,1,0,0,Managers,2.0,2,2,TUESDAY,15,0,0,0,0,0,0,Trade: type 3,,0.1535705728980404,0.6144143775673561,0.0789,0.0583,0.9727,0.626,0.0084,0.0,0.1379,0.1667,0.2083,0.0153,0.0609,0.0594,0.0154,0.0242,0.0798,0.0406,0.9727,0.6406,0.0084,0.0,0.1379,0.1667,0.2083,0.015,0.0634,0.0578,0.0,0.0,0.0796,0.0583,0.9727,0.631,0.0084,0.0,0.1379,0.1667,0.2083,0.0156,0.062,0.0605,0.0155,0.0247,reg oper account,block of flats,0.0498,Block,No,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
2723,103178,0,Cash loans,F,Y,N,1,99000.0,1012500.0,37651.5,1012500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.018209,-14733,-1121,-5195.0,-4552,11.0,1,1,1,1,0,0,Sales staff,3.0,3,3,MONDAY,9,0,0,0,0,0,0,Business Entity Type 3,0.704945314225021,0.6207694370704598,,0.2536,0.1557,0.9891,,,0.2,0.1724,0.4583,,0.1172,,0.0486,,0.0107,0.2584,0.1616,0.9891,,,0.2014,0.1724,0.4583,,0.1198,,0.0506,,0.0114,0.2561,0.1557,0.9891,,,0.2,0.1724,0.4583,,0.1192,,0.0495,,0.011,,block of flats,0.1841,Panel,No,0.0,0.0,0.0,0.0,-1891.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
2746,103204,1,Cash loans,F,N,Y,0,135000.0,675000.0,40324.5,675000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.010032,-15002,-1766,-8880.0,-3887,,1,1,0,1,1,0,Sales staff,1.0,2,2,SATURDAY,9,0,0,0,0,0,0,Self-employed,0.4905346236398994,0.4113570076010797,0.7136313997323308,0.2227,0.1265,0.9846,0.7892,0.0774,0.24,0.2069,0.3333,0.375,0.3045,0.1816,0.2331,0.0,0.0,0.2269,0.1313,0.9846,0.7975,0.0782,0.2417,0.2069,0.3333,0.375,0.3115,0.1983,0.2429,0.0,0.0,0.2248,0.1265,0.9846,0.792,0.0779,0.24,0.2069,0.3333,0.375,0.3098,0.1847,0.2373,0.0,0.0,,block of flats,0.2257,Panel,No,0.0,0.0,0.0,0.0,-1023.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
