,TARGET,SK_ID_CURR,POS_SK_DPD_DEF_SUM,CC_DRAWING_LIMIT_RATIO_MAX,INSTAL_PAYMENT_RATIO_MEAN,POS_REMAINING_INSTALMENTS,CC_LAST_AMT_BALANCE_MEAN,CC_PAYMENT_DIV_MIN_MIN,CC_LATE_PAYMENT_VAR,NEW_DOC_KURT,PREV_SK_ID_PREV_NUNIQUE,EMERGENCYSTATE_MODE_nan,REFUSED_AMT_GOODS_PRICE_MAX,ORGANIZATION_TYPE_Industry_type_5,CC_AMT_PAYMENT_TOTAL_CURRENT_SUM,CC_CNT_DRAWINGS_POS_CURRENT_SUM,APPROVED_AMT_GOODS_PRICE_MAX,PREV_NAME_SELLER_INDUSTRY_Connectivity_MEAN,APPROVED_AMT_ANNUITY_MAX,BURO_CREDIT_ACTIVE_Active_MEAN,PREV_NAME_PRODUCT_TYPE_walk_in_MEAN,BURO_AMT_CREDIT_SUM_MAX,CC_CNT_DRAWINGS_ATM_CURRENT_SUM,ACTIVE_DAYS_CREDIT_VAR,ACTIVE_MONTHS_BALANCE_MAX_MAX,NAME_EDUCATION_TYPE_Higher_education,CC_CNT_DRAWINGS_POS_CURRENT_VAR,PREV_APP_CREDIT_PERC_MIN,REGION_RATING_CLIENT_W_CITY,NAME_HOUSING_TYPE_House_apartment,CLOSED_AMT_CREDIT_SUM_DEBT_SUM,APPROVED_DAYS_DECISION_MEAN,ANNUITY_INCOME_PERC,ORGANIZATION_TYPE_Services,FLAG_DOCUMENT_8,WALLSMATERIAL_MODE_Panel,ORGANIZATION_TYPE_Cleaning,ORGANIZATION_TYPE_Military,LIVINGAPARTMENTS_AVG,APARTMENTS_AVG,ELEVATORS_AVG,ORGANIZATION_TYPE_School,INSTAL_DPD_MEAN,FLOORSMIN_AVG,INSTAL_DBD_SUM,DAYS_BIRTH,INSTAL_DPD_MAX,ACTIVE_AMT_CREDIT_SUM_DEBT_MAX,OCCUPATION_TYPE_High_skill_tech_staff,CC_AMT_DRAWINGS_ATM_CURRENT_VAR,ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,CC_CNT_DRAWINGS_ATM_CURRENT_MIN,PREV_NAME_TYPE_SUITE_Spouse_partner_MEAN,CC_AMT_DRAWINGS_OTHER_CURRENT_MEAN,POS_SK_DPD_DEF_MEAN,ACTIVE_DAYS_CREDIT_ENDDATE_MIN,PREV_AMT_DOWN_PAYMENT_MAX,BURO_AMT_CREDIT_SUM_SUM,PREV_NAME_TYPE_SUITE_Group_of_people_MEAN,PREV_APP_CREDIT_PERC_MEAN,INSTAL_AMT_PAYMENT_MEAN,ACTIVE_DAYS_CREDIT_UPDATE_MEAN,INSTAL_DAYS_ENTRY_PAYMENT_MAX,PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,CC_CNT_DRAWINGS_POS_CURRENT_MIN,ACTIVE_AMT_CREDIT_SUM_MEAN,OCCUPATION_TYPE_Private_service_staff,CC_CNT_DRAWINGS_OTHER_CURRENT_MEAN,BURO_AMT_CREDIT_SUM_MEAN,CC_AMT_DRAWINGS_OTHER_CURRENT_MIN,CC_AMT_DRAWINGS_OTHER_CURRENT_SUM,INSTAL_AMT_PAYMENT_SUM,PREV_NAME_PRODUCT_TYPE_nan_MEAN,CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,OCCUPATION_TYPE_HR_staff,BURO_AMT_CREDIT_SUM_OVERDUE_MEAN,PREV_CODE_REJECT_REASON_LIMIT_MEAN,CC_AMT_DRAWINGS_POS_CURRENT_MIN,BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,FLOORSMAX_MODE,ELEVATORS_MEDI,CODE_GENDER,INSTAL_DBD_MEAN,ORGANIZATION_TYPE_Advertising,EXT_SOURCE_3,FLAG_DOCUMENT_20,OCCUPATION_TYPE_Managers,FLAG_OWN_REALTY,EMERGENCYSTATE_MODE_Yes,POS_COUNT,LIVINGAREA_MODE,YEARS_BUILD_MEDI,AMT_CREDIT,INCOME_PER_PERSON,EMERGENCYSTATE_MODE_No,ORGANIZATION_TYPE_Police,FLAG_WORK_PHONE,LANDAREA_MEDI,COMMONAREA_AVG,ORGANIZATION_TYPE_University,ORGANIZATION_TYPE_Medicine,ORGANIZATION_TYPE_Telecom,NONLIVINGAPARTMENTS_AVG,WALLSMATERIAL_MODE_Block,ORGANIZATION_TYPE_Housing,FLAG_CONT_MOBILE,FLAG_EMAIL,WALLSMATERIAL_MODE_Monolithic,REGION_POPULATION_RELATIVE,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLOORSMAX_MEDI,ORGANIZATION_TYPE_Electricity,REGION_RATING_CLIENT,YEARS_BUILD_MODE,DAYS_ID_PUBLISH,TOTALAREA_MODE,WALLSMATERIAL_MODE_Mixed,EXT_SOURCE_1,FLAG_DOCUMENT_16,YEARS_BEGINEXPLUATATION_MODE,INSTAL_COUNT,ORGANIZATION_TYPE_Realtor,FLAG_DOCUMENT_6,COMMONAREA_MODE,FLAG_DOCUMENT_3,FLOORSMAX_AVG,OCCUPATION_TYPE_Laborers,APARTMENTS_MODE,ORGANIZATION_TYPE_Security,AMT_INCOME_TOTAL,ENTRANCES_AVG,PAYMENT_RATE,FLAG_DOCUMENT_17,FLAG_OWN_CAR,FLOORSMIN_MODE,FLOORSMIN_MEDI,FLAG_DOCUMENT_19,ORGANIZATION_TYPE_Mobile,INSTAL_DBD_MAX,LANDAREA_MODE,DAYS_EMPLOYED_PERC,INCOME_CREDIT_PERC,LIVINGAREA_AVG,ORGANIZATION_TYPE_Postal,BASEMENTAREA_AVG,ORGANIZATION_TYPE_Insurance,OCCUPATION_TYPE_Accountants,BURO_CREDIT_TYPE_Microloan_MEAN,NONLIVINGAREA_MEDI,INSTAL_NUM_INSTALMENT_VERSION_NUNIQUE,FONDKAPREMONT_MODE_nan,INS_24M_AMT_BALANCE_MAX,ORGANIZATION_TYPE_Agriculture,CC_AMT_PAYMENT_TOTAL_CURRENT_MIN,CC_CNT_DRAWINGS_OTHER_CURRENT_SUM,PREV_NAME_TYPE_SUITE_Other_B_MEAN,CC_AMT_DRAWINGS_ATM_CURRENT_MIN,CC_NAME_CONTRACT_STATUS_Sent_proposal_MIN,NONLIVINGAREA_AVG,FLAG_DOCUMENT_11,CC_CNT_DRAWINGS_CURRENT_MIN,EXT_SOURCE_2,NONLIVINGAREA_MODE,AMT_ANNUITY,BURO_CREDIT_TYPE_Mortgage_MEAN,AMT_GOODS_PRICE,APPROVED_CNT_PAYMENT_MEAN,FLAG_DOCUMENT_7,FLAG_DOCUMENT_18,NONLIVINGAPARTMENTS_MEDI,ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,ORGANIZATION_TYPE_Construction,INSTAL_AMT_PAYMENT_MIN,BURO_AMT_CREDIT_SUM_DEBT_MEAN
190790,0,321233,0.0,,1.0,1.0,,,,20.0,3.0,1,,0,,,180000.0,0.3333,20158.92,0.3076,0.0,1350000.0,,461261.66,,0,,0.938,2,1,0.0,-1392.0,0.1052,0,0,0,0,0,,,,0,4.695,,166.0,-17686,33.0,973557.0,0,,1044.0,,0.0,,0.0,-67.0,10399.5,1999131.2,0.0,1.0362065084257794,11761.617,-55.5,-36.0,0.3333,,416072.25,0,,153779.33,,,388133.38,0.0,,0,0.0,0.0,,1247.13,,,1,5.03,0,0.4885,0,0,0,0,30.0,,,95940.0,90000.0,0,0,1,,,0,0,0,,0,0,1,0,0,0.02461,0,0,,0,2,,-1220,,0,,0,,33.0,0,0,,1,,0,,0,90000.0,,0.09875,0,0,,,0,0,18.0,,0.11945,0.938,,0,,0,0,0.0,,1.0,1,,0,,,0.0,,,,0,,0.689,,9472.5,0.0769,90000.0,9.336,0,0,,0.0,0,19.89,100787.72
195647,0,326865,0.0,,0.8,0.0,,,,20.0,6.0,1,137902.5,0,,,137992.5,0.3333,14926.005,0.2222,0.0,485550.0,,123008.0,,0,,0.805,2,1,0.0,-1950.0,0.1666,0,0,0,0,0,,,,0,0.0,,541.0,-20258,0.0,451102.5,0,,627.0,,0.0,,0.0,627.0,13801.5,1864753.5,0.0,1.0274822110026305,14325.854,-26.5,-291.0,0.1666,,242775.0,0,,207194.83,,,429775.6,0.0,,0,0.0,0.0,,0.0,,,1,18.03,0,0.68,0,0,1,0,28.0,,,1724220.0,151650.0,0,0,0,,,0,0,0,,0,0,1,0,0,0.0228,0,0,,0,2,,-2660,,0,,0,,30.0,0,1,,0,,0,,0,303300.0,,0.02931,0,0,,,0,0,40.0,,,0.1759,,0,,0,0,0.0,,9.0,1,,0,,,0.0,,,,0,,0.0734,,50544.0,0.0,1350000.0,12.664,0,0,,0.0,0,4079.115,50122.5
226324,0,362153,0.0,,1.0,4.0,,,,0.0,4.0,0,127323.0,0,,,50800.5,0.25,9091.665,0.3333,0.0,54292.5,,,,0,,1.0,2,0,0.0,-1028.0,0.15,0,0,0,0,0,,0.0247,,0,0.0,,165.0,-11317,0.0,8621.775,0,,56.0,,0.0,,0.0,56.0,19890.0,118063.53,0.0,1.167389624958074,7755.582,-26.0,-31.0,0.25,,26109.45,0,,39354.51,,,85311.41,0.0,,0,0.0,0.0,,8993.535,0.0833,,1,15.0,0,0.2485,0,0,1,0,13.0,0.0325,,270000.0,22500.0,1,0,0,,,0,0,0,,0,0,1,0,0,0.03076,0,0,0.0833,0,2,,-3869,0.039,0,,0,0.9883,11.0,0,0,,0,0.0833,1,0.0252,0,90000.0,0.1034,0.05,0,0,,,0,0,22.0,,0.073,0.3333,0.0312,0,,0,0,0.0,,1.0,1,,0,,,0.0,,,,0,,0.255,,13500.0,0.0,270000.0,4.668,0,0,,1906.605,0,5599.44,4310.8877
258547,0,399215,0.0,,1.0,0.0,,,,20.0,3.0,1,111550.5,0,,,175491.0,0.3333,25758.945,0.75,0.0,396000.0,,468470.34,,0,,1.0,2,1,0.0,-948.0,0.2181,0,1,0,0,0,,,,0,0.0,,102.0,-15517,0.0,140899.5,0,,471.0,,0.3333,,0.0,213.0,45000.0,827316.0,0.0,1.233915973594691,23439.592,-22.33,-476.0,0.0,,232677.0,0,,206829.0,,,281275.12,0.0,,0,0.0,0.3333,,0.0,,,1,8.5,0,0.537,0,0,0,0,14.0,,,729396.0,75000.0,0,0,0,,,0,0,0,,0,0,1,0,0,0.01064,0,0,,0,2,,-2583,,0,0.7036,0,,12.0,0,0,,0,,0,,0,225000.0,,0.06726,0,1,,,0,0,14.0,,0.1741,0.3086,,0,,0,0,0.0,,1.0,1,,0,,,0.0,,,,0,,0.567,,49072.5,0.0,688500.0,6.0,0,0,,0.0,0,21123.766,99429.75
149219,0,273004,0.0,,0.9659090909090908,0.0,0.0,,0.0,20.0,10.0,0,33705.0,0,0.0,0.0,202500.0,0.6,20250.0,0.2,0.0,1345500.0,0.0,1226178.0,,0,,0.0,2,1,-757.44,-1392.0,0.08026,0,1,0,0,0,0.0303,0.0371,0.0,0,0.2046,0.0417,835.0,-16103,6.0,1893600.0,0,,932.5,,0.0,,0.0,152.0,15750.0,2995838.2,0.0,0.941051251543248,12086.841,-313.0,-550.0,0.2,,663120.0,0,,299583.8,,0.0,531821.0,0.0,,0,0.0,0.0,,0.0,0.0833,0.0,0,18.98,0,0.458,0,0,0,0,50.0,0.0308,0.631,679500.0,123750.0,1,0,1,0.0482,,0,0,0,0.0,0,0,1,0,0,0.02461,0,0,0.0833,0,2,0.6406,-3927,0.0366,0,,0,0.9727,44.0,0,0,,0,0.0833,1,0.0378,0,247500.0,0.1034,0.02924,0,1,0.0417,0.0417,0,0,106.0,0.0485,0.0793,0.3643,0.0295,0,0.0,0,0,0.0,0.0,3.0,0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0,0.0,0.666,0.0,19867.5,0.0,679500.0,8.0,0,0,0.0,0.0,0,387.45,189284.25
247885,0,386852,0.0,,1.0,26.0,,,,20.0,8.0,1,,0,,,225000.0,0.0,14334.75,0.25,0.125,64890.0,,,,0,,0.921,2,0,0.0,-340.5,0.15,0,0,0,0,0,,,,0,0.1837,,322.0,-8063,3.0,44396.504,0,,27470.0,,0.0,,0.0,27470.0,0.0,191101.5,0.0,0.9887125220458554,7918.19,-21.0,-37.0,0.5,,45000.0,0,,47775.375,,,387991.3,0.0,,0,0.0,0.0,,0.0,,,0,6.57,0,0.2837,0,0,1,0,51.0,,,450000.0,96952.5,0,0,1,,,0,0,0,,0,0,1,0,0,0.00712,0,0,,0,2,,-744,,0,0.1598,0,,49.0,0,0,,0,,0,,0,193905.0,,0.06464,0,0,,,0,0,36.0,,0.0773,0.431,,0,,0,0,0.0,,2.0,1,,0,,,0.0,,,,0,,0.4287,,29097.0,0.0,450000.0,14.57,0,1,,0.0,0,226.755,11099.126
64179,0,174425,0.0,,1.0,0.0,,,,0.0,4.0,0,,0,,,286650.0,0.0,24539.984,0.3635,0.0,1822500.0,,1368737.6,,0,,0.834,2,1,0.0,-1690.0,0.08,0,0,0,0,0,,0.0247,0.0,0,1.314,,652.0,-19189,21.0,1543927.5,0,,1385.0,,0.0,,0.0,-38.0,28665.0,4983347.5,0.0,1.023728843093685,13913.003,-19.5,-298.0,0.5,,675000.0,0,,453031.56,,,751302.2,0.0,,0,0.0,0.0,,0.0,0.0833,0.0,0,12.07,0,0.4634,0,0,1,0,44.0,0.0201,,360000.0,225000.0,1,0,0,0.0403,,0,0,0,,1,0,1,0,0,0.00933,0,0,0.0833,0,2,,-2623,0.0166,0,,0,0.973,54.0,0,0,,0,0.0833,1,0.0252,0,225000.0,0.069,0.05,0,0,,,0,0,43.0,0.0405,0.2018,0.625,0.0193,0,0.0,0,0,0.0,0.0,2.0,1,,0,,,0.0,,,0.0,0,,0.638,0.0,18000.0,0.0909,360000.0,16.0,0,0,,,0,12.735,226848.5
89430,0,203834,24.0,0.0,1.0,0.0,146290.05,0.0,0.0833,20.0,6.0,1,31455.0,0,67238.46,136.0,180000.0,0.5,9000.0,,0.0,,0.0,,,0,161.5,0.9043,2,0,,-350.5,0.1897,0,1,0,0,0,,,,0,1.558,,589.0,-13744,31.0,,0,0.0,,0.0,0.0,0.0,1.0,,4500.0,,0.0,1.0377922363696463,4163.4907,,-6.0,0.1666,0.0,,0,0.0,,0.0,0.0,216501.53,0.0,0.0,0,,0.0,0.0,,,,0,11.33,0,,0,0,0,0,24.0,,,391090.5,56250.0,0,0,0,,,0,0,0,,0,0,1,0,0,0.008575,0,0,,0,2,,-4130,,0,0.511,0,,52.0,0,0,,0,,1,,0,112500.0,,0.05457,0,1,,,0,0,41.0,,0.1309,0.2876,,0,,0,0,,,2.0,1,159899.17,0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.5464,,21343.5,,297000.0,8.5,0,0,,,0,34.965,
141413,0,263961,0.0,,1.0,0.0,,,,0.0,2.0,0,225000.0,0,,,42705.0,0.5,9244.575,0.0,0.5,54063.0,,,,0,,0.9497,2,0,0.0,-356.0,0.175,0,0,0,0,0,0.0193,0.0237,0.0,0,0.0,0.0833,41.0,-15913,0.0,,0,,,,0.0,,0.0,,0.0,54063.0,0.0,0.974927434691222,9244.29,,-165.0,0.0,,,0,,54063.0,,,55465.74,0.0,,0,0.0,0.5,,,0.0417,0.0,1,6.832,0,0.553,0,0,1,0,8.0,0.007,0.698,315000.0,90000.0,1,0,0,0.027,0.0047,0,0,0,0.0,0,0,1,0,0,0.0358,0,0,0.0417,0,2,0.706,-3950,0.0078,0,0.6914,0,0.9775,6.0,0,0,0.0047,0,0.0417,0,0.0242,0,90000.0,0.0345,0.05,0,0,0.0833,0.0833,0,0,22.0,0.0271,0.1935,0.2856,0.0067,0,0.0,0,0,0.0,0.0,1.0,0,,0,,,0.0,,,0.0,0,,0.6533,0.0,15750.0,0.0,315000.0,6.0,0,0,0.0,,0,9242.865,0.0
2789,0,103255,0.0,,1.0,0.0,0.0,,0.0,20.0,11.0,1,,0,0.0,0.0,154219.5,0.1818,27381.105,0.25,0.0909,337500.0,0.0,,0.0,0,,0.8867,2,1,0.0,-1147.0,0.3523,0,0,0,0,0,,,,0,1.343,,514.0,-19208,29.0,204673.5,0,,814.0,,0.0,,0.0,814.0,8716.5,707121.0,0.0,1.0245542403054666,8321.456,-34.0,-284.0,0.0909,,337500.0,0,,176780.25,,0.0,607466.3,0.0,,0,0.0,0.0,,,,,0,7.043,0,0.6895,0,0,1,0,77.0,,,900000.0,56250.0,0,0,1,,,0,0,0,,0,0,1,0,0,0.01522,0,0,,0,2,,-2397,,0,,0,,73.0,0,0,,1,,0,,0,112500.0,,0.04404,0,0,,,0,0,34.0,,0.1265,0.125,,0,,0,0,0.0,,2.0,1,0.0,0,0.0,0.0,0.0,,0.0,,0,0.0,0.3162,,39645.0,0.0,900000.0,7.555,0,0,,,0,3.645,51168.375
